Date,Open,High,Low ,Last ,Close ,Total Trade Quantity,Turnover
1-Jan-16,1009.8,1018.9,1008.2,1013.6,1015.35,1238135,1257352825
4-Jan-16,1005,1013.8,986.7,993.2,995.3,6896571,6889070475
5-Jan-16,1000.3,1010,997,1005,1005.15,3416459,3428125271
6-Jan-16,1007.6,1038.4,1000.4,1029.1,1032.2,6116855,6289073421
7-Jan-16,1021.05,1028,1008.05,1018.9,1013.25,4512219,4587700425
8-Jan-16,1020,1032.9,1016.7,1027.4,1025.75,4871839,4999056504
11-Jan-16,1015.95,1060.8,1011,1054,1051.6,6632671,6950389025
12-Jan-16,1055,1065.4,1041.1,1044.4,1045.45,5342761,5626465576
13-Jan-16,1053.1,1089.75,1047.2,1073.2,1076.85,16412811,17412825596
14-Jan-16,1063.85,1081,1053.05,1060.45,1061.65,6359913,6788622870
15-Jan-16,1069.75,1089.5,1065.6,1072.6,1073.3,6575725,7104390948
18-Jan-16,1075,1083.95,1008.1,1020.4,1016.85,6229959,6540923210
19-Jan-16,1029,1049.8,1014.1,1046.95,1043.6,4912096,5091435246
20-Jan-16,1034.9,1034.9,990,1009.15,1004.55,10312353,10404327994
21-Jan-16,1017.55,1025.75,976.7,982.45,984.2,7261772,7224376995
22-Jan-16,994.05,1011,994.05,1004.05,1004.15,5413455,5431058011
25-Jan-16,1010,1018.75,1000,1000.2,1003.95,2994340,3026275942
27-Jan-16,1008.1,1010,996.95,997,999.35,3943295,3959581189
28-Jan-16,1001,1021.8,997.1,1015.5,1016.9,5274473,5339625414
29-Jan-16,1018.95,1040,1018,1036,1035.4,4383577,4527146899
1-Feb-16,1039.95,1041.8,1025.55,1028.2,1030.3,2267273,2341781935
2-Feb-16,1030.3,1032.8,990.5,995.5,1001.15,3376466,3423672334
3-Feb-16,988,994,975,980,981.4,3586808,3529766340
4-Feb-16,988,1001,965.7,977.65,973.05,4161079,4090669618
5-Feb-16,979.1,982,961.4,974.9,970.9,4799882,4658176118
8-Feb-16,971.1,984.8,957.95,959.65,961.05,2760853,2691151281
9-Feb-16,952.9,968.8,950,956.75,957.5,4481029,4306263438
10-Feb-16,951.7,973,948.65,965.4,962.65,3859250,3714199986
11-Feb-16,962.85,965.95,915.5,924,924.55,3912163,3678803898
12-Feb-16,933.9,933.9,888.1,904.85,906.55,6701935,6085411197
15-Feb-16,918,951.35,918,944.4,946.75,4407889,4142717540
16-Feb-16,951.1,958,927,929.25,930.55,2977263,2810849105
17-Feb-16,935.1,957.45,916.4,956.1,952.6,3529832,3312170035
18-Feb-16,962.95,968.7,936,937.15,940.1,3299161,3131982377
19-Feb-16,940,952.75,937.35,943.5,944.35,2339664,2209778479
22-Feb-16,944.1,968.3,944.1,963,962.3,2919198,2805180452
23-Feb-16,963.1,967.2,942.75,943.9,949.65,4340746,4160698808
24-Feb-16,944.9,958.55,942,955,952.65,3471311,3307166889
25-Feb-16,954.2,956.55,940.85,942,944.1,5675025,5371391774
26-Feb-16,953,958.75,944.3,953,950.35,1908533,1816331636
29-Feb-16,951.3,994.6,935,965,966.65,7093474,6816551287
1-Mar-16,964.7,985.05,964.65,984.25,981.3,3760923,3684645581
2-Mar-16,992.9,1005.75,987.25,1000,1001.5,4595886,4590432124
3-Mar-16,1010,1018,997.5,1010,1012.85,3630006,3663682139
4-Mar-16,1014,1015,1003.5,1007.5,1006.4,2054428,2070143079
8-Mar-16,1007.5,1030.9,1007.5,1023,1027,3022554,3087984351
9-Mar-16,1020,1043.9,1018.6,1041.9,1041.7,2709831,2801141034
10-Mar-16,1042.05,1045.9,1009,1009.15,1011.75,4733124,4820313423
11-Mar-16,1014.9,1029.55,1010.6,1015.4,1014.5,3501676,3569686913
14-Mar-16,1019.1,1026.4,1012.95,1019.75,1019.75,2715590,2765572642
15-Mar-16,1024,1027.85,1015.1,1019.55,1020.5,2397332,2449201924
16-Mar-16,1021,1025.8,1005.45,1024.4,1021.75,2529074,2568957743
17-Mar-16,1027,1036.9,1012,1014.5,1016,3847740,3949732218
18-Mar-16,1018.25,1030.15,1015.7,1028.3,1027.2,3207246,3284213965
21-Mar-16,1027.95,1041.5,1022.75,1040,1037.3,2904852,2993700834
22-Mar-16,1037,1052.25,1035.65,1049.35,1047.85,3504967,3661562667
23-Mar-16,1046.9,1046.9,1022.4,1027.25,1029.2,3841654,3962605795
28-Mar-16,1030,1031.7,1015.65,1022.5,1020.4,4130553,4224624949
29-Mar-16,1023.8,1042,1020.2,1034,1036.25,3627901,3752397078
30-Mar-16,1042.7,1051.75,1042.7,1047.4,1047.05,3303780,3460764578
31-Mar-16,1041,1056,1032.7,1045,1045.2,7047985,7368811911
1-Apr-16,1039.1,1046.3,1025,1035,1034.45,2830115,2923641416
4-Apr-16,1040,1042.2,1025.3,1035.75,1035.05,1973260,2036784077
5-Apr-16,1031.35,1042.4,1022.2,1027.3,1026.95,2345148,2417937240
6-Apr-16,1032.1,1036.7,1022.6,1034.4,1033.75,1597975,1645826296
7-Apr-16,1034.9,1048,1022.1,1034.8,1037.25,2009055,2083849370
8-Apr-16,1035.9,1054.45,1031.2,1035,1036.35,3065701,3193915291
11-Apr-16,1037,1045.5,1033,1039.2,1040.3,2356318,2451516879
12-Apr-16,1040.3,1057.45,1038.05,1047.6,1047.4,2552099,2676798111
13-Apr-16,1052.55,1069.9,1052.55,1064.6,1066.05,3666141,3886222311
18-Apr-16,1065.8,1066.8,1055.4,1063.05,1064.75,4358102,4624603232
20-Apr-16,1069.2,1069.2,1035.8,1037.15,1037.3,4957497,5179668393
21-Apr-16,1041.4,1052,1035,1039.5,1041.15,2601436,2712047919
22-Apr-16,1039,1047.5,1029.3,1040.5,1038.95,2675586,2780346365
25-Apr-16,1044.45,1044.45,1012.3,1014.55,1016.9,13979586,14256999658
26-Apr-16,1015.4,1023.9,1007.5,1014.3,1016.95,6041279,6121324712
27-Apr-16,1017.9,1025.95,1016,1018.45,1019.4,3315060,3387251624
28-Apr-16,1014,1019.2,990.95,993.5,996.7,14160507,14237803966
29-Apr-16,993.45,998.55,978.85,980.9,982.7,5367060,5297844666
2-May-16,979,992.4,978,987,986.95,2427753,2395582308
3-May-16,988,994.95,972.75,975,975.8,4016624,3947642760
4-May-16,974.05,983.7,973,976,978.1,3096453,3031966775
5-May-16,980,983.45,970.9,974.9,975.25,4952411,4837354465
6-May-16,973,976.8,967,969.15,968.95,3371220,3273738349
9-May-16,975,986,972.8,983.3,983.1,3508088,3442124767
10-May-16,983.1,984.7,978,982.3,982.55,1656840,1626181209
11-May-16,971.8,980.75,970,974.1,975.4,2820699,2754314214
12-May-16,976,994.2,975.05,993,992.8,2922714,2884182558
13-May-16,988.95,990.55,975,975.95,978.15,3348353,3285903493
16-May-16,977,982.5,971.1,974.5,975.95,2132072,2081760479
17-May-16,980.25,983.1,966.35,967.45,969.15,2779023,2706668840
18-May-16,965.9,972.5,964.1,970.05,970.55,1880974,1824529637
19-May-16,971.7,971.9,945.6,947.35,951.2,2088058,2006009103
20-May-16,952,954.5,931.35,933.4,934.2,4238988,3997447797
23-May-16,937.35,940.7,925.65,931.1,930,4198098,3914538268
24-May-16,928.05,944,928.05,941,940.45,2807737,2638876532
25-May-16,949.85,952.8,941.15,949.65,951.2,2112135,2002517642
26-May-16,950,952.4,944.1,947.3,946.85,3243601,3073707523
27-May-16,949.05,976.9,948.75,973.1,974.7,3063379,2961741219
30-May-16,976.4,981.5,965,965.8,968.7,2202091,2140805461
31-May-16,969,973,956.5,959,957.85,5333469,5119973489
1-Jun-16,957.95,966.1,951.8,952.7,953.6,2067034,1982696122
2-Jun-16,954.5,957.15,945.1,955.35,956.25,2343852,2227760801
3-Jun-16,960,962.9,955.85,958.75,959.65,1975712,1895977557
6-Jun-16,961,963,952.55,954.45,954.8,1982466,1897147293
7-Jun-16,957.25,960.95,951.6,953.45,955.05,4332627,4142620601
8-Jun-16,958,958,949.15,955.95,954.1,2773975,2644278170
9-Jun-16,960,976.45,956.2,970,971.15,3575840,3472641638
10-Jun-16,974,984.4,968.3,975.7,976.7,3729737,3642612996
13-Jun-16,969.9,983.45,963.05,980,981.1,2334856,2273535313
14-Jun-16,980.95,985.4,969.3,976.3,976.25,2497008,2440817299
15-Jun-16,980,986.5,973.75,981.85,984.6,2543921,2493348429
16-Jun-16,981,983.65,967.05,975.25,976.3,2142329,2089779295
17-Jun-16,977,978.65,970.1,973,974.9,2408096,2346137251
20-Jun-16,972.15,992.6,968,987.5,990.2,2459237,2418252128
21-Jun-16,994.1,994.15,979.7,983.05,987.1,3184865,3139971425
22-Jun-16,985,985.9,977.1,978,980.5,2923284,2866888654
23-Jun-16,979.95,982,970,981,980.45,2248693,2193589013
24-Jun-16,964.9,964.9,933.4,948.55,951.45,5711173,5409346859
27-Jun-16,940.5,958.4,940.5,953.9,955.65,2094599,1997741765
28-Jun-16,956.4,961.55,955,958,957.8,1738370,1666404999
29-Jun-16,962,968.95,960,967,966.9,1719857,1659360681
30-Jun-16,972,977.5,967.05,969,969.15,2916329,2831792987
1-Jul-16,972.75,976.8,970,974.75,973.45,1510979,1470225446
4-Jul-16,975.5,993.6,975.5,986.35,986.7,1783750,1761346964
5-Jul-16,986.1,1002.9,980.3,991.2,993.1,2596678,2582210954
7-Jul-16,992.5,1000.5,986.15,988.1,987.9,2749648,2728683065
8-Jul-16,987,989,976.35,977.6,978.4,1632225,1603394588
11-Jul-16,991,994.95,985.5,991.55,992.5,1889606,1873068863
12-Jul-16,995.25,1005,991,1003.4,1003.4,2232685,2229070184
13-Jul-16,1005.2,1016.7,1004.15,1008,1008.75,3409386,3446506826
14-Jul-16,1008.1,1014.1,998.25,1004.2,1004.9,2459183,2474605487
15-Jul-16,1009,1021,1003.5,1014.35,1012.2,3198562,3241175869
18-Jul-16,1028,1038.75,1001.75,1002.9,1006.25,7339086,7518309445
19-Jul-16,1006,1022.95,995.3,1022.5,1017.8,3805750,3844707695
20-Jul-16,1019.95,1028.3,1016.55,1022.75,1023,2803645,2866191225
21-Jul-16,1024,1025,1005,1006.2,1006.35,1534044,1551205389
22-Jul-16,1006,1017.8,1005.1,1015.9,1014.85,1577114,1598204862
25-Jul-16,1014,1023.75,1007.35,1020.5,1022.75,1883884,1914975226
26-Jul-16,1023,1034.8,1015.2,1022.25,1024.05,2403872,2471965451
27-Jul-16,1023.05,1026,1008.95,1011.2,1013.1,2521448,2564577316
28-Jul-16,1014.95,1030.5,1013.05,1024,1026.35,3568375,3649633314
29-Jul-16,1024,1024.9,1012,1016.05,1014.9,2201164,2236478542
1-Aug-16,1018,1020.3,1005.05,1009,1009.5,1823694,1846202182
2-Aug-16,1008,1020,1006.3,1013,1012.8,1762408,1788291755
3-Aug-16,1014.4,1014.4,991.5,992.9,993.95,2713804,2708366174
4-Aug-16,999,1000,983.4,995.2,993,2328716,2306189259
5-Aug-16,998,1019,997.05,1018,1016.25,2767914,2790650163
8-Aug-16,1019.9,1034,1018.65,1027.3,1029.25,3098753,3190040712
9-Aug-16,1027,1034.5,1021,1029.9,1030.7,3038046,3122459911
10-Aug-16,1031.25,1034.55,1002,1002.2,1003.65,3079463,3116960499
11-Aug-16,1001.95,1022.85,999.6,1014,1014.1,3238899,3282503483
12-Aug-16,1017,1042.9,1017,1032.55,1035.8,3740861,3863571902
16-Aug-16,1036.25,1044.8,1015.5,1023.65,1024.9,3055603,3141211271
17-Aug-16,1024.1,1028.8,1007.2,1014,1013.3,3539970,3594983479
18-Aug-16,1016,1023.65,1016,1018,1018.05,1771449,1805112795
19-Aug-16,1018,1022,1007.1,1013.3,1014.9,1869308,1898300779
22-Aug-16,1012,1019.7,1007.2,1010.05,1011.85,1527904,1547496176
23-Aug-16,1012,1015,1005,1011.2,1010.45,1673328,1690268899
24-Aug-16,1011.7,1021.95,1011,1021.25,1020.5,1993153,2027291124
25-Aug-16,1021.2,1029,1009,1013.95,1012.7,3419775,3481068525
26-Aug-16,1017.9,1030.8,1014.6,1026.6,1027.9,2203465,2258151955
29-Aug-16,1027.25,1059.75,1026.1,1059.3,1057.45,3701495,3872133055
30-Aug-16,1062,1068.5,1053,1064.75,1066.4,4153522,4414855721
31-Aug-16,1064.9,1074,1047,1047.9,1060,5324960,5665324907
1-Sep-16,1053,1072.75,1025.7,1028.05,1029.2,9742454,10234626989
2-Sep-16,1031.1,1032.55,1002.3,1013,1013.35,6428814,6517819698
6-Sep-16,1019.9,1025,1015,1021.7,1019.9,2631091,2681861446
7-Sep-16,1022,1027.05,1013.05,1017,1017.65,2954995,3011590628
8-Sep-16,1023.05,1035.95,1020.2,1034,1033.4,2790196,2876333145
9-Sep-16,1035,1049.9,1030,1041.5,1044.55,3490441,3638707846
12-Sep-16,1030.4,1056,1029.15,1046.95,1046.5,7699800,8061595469
14-Sep-16,1048,1059,1040.9,1043,1044.75,4252754,4461991599
15-Sep-16,1047,1070.2,1047,1064.8,1065,7170885,7567970041
16-Sep-16,1067,1093.85,1059.1,1072.9,1075.55,8988926,9710711353
19-Sep-16,1072.55,1088,1071,1083,1082.4,3812324,4120984369
20-Sep-16,1084,1084.75,1069.05,1073.55,1074.2,2635854,2836524443
21-Sep-16,1074,1084.9,1069,1070,1072.25,2501476,2690360398
22-Sep-16,1083,1095.8,1079,1086.95,1088.95,4288544,4675251073
23-Sep-16,1089,1109.45,1089,1101.6,1102.8,7105725,7818310313
26-Sep-16,1103.4,1129.55,1100.25,1106.3,1107.2,8734943,9771217522
27-Sep-16,1117,1125.95,1106.6,1110.9,1110.5,4428693,4939498790
28-Sep-16,1107.9,1108,1086.3,1089,1090.65,5673488,6198865983
29-Sep-16,1095,1110.75,1067.4,1074.55,1072.45,4859746,5272989986
30-Sep-16,1068,1094.55,1066.3,1084.5,1083.7,2560105,2772082002
3-Oct-16,1087,1107.95,1076.25,1090,1090.7,4143109,4529687733
4-Oct-16,1093.05,1108.3,1092,1095,1096.35,2997544,3299004036
5-Oct-16,1104,1106.5,1085.8,1090,1089.4,2466397,2701225312
6-Oct-16,1092,1126.25,1092,1112,1110.8,4825630,5376475095
7-Oct-16,1114,1123.05,1106.5,1106.95,1109,3492838,3891447818
10-Oct-16,1114,1122,1094,1096,1096.35,2640973,2920222668
13-Oct-16,1089,1089.05,1052,1058.5,1057.15,5014667,5354276741
14-Oct-16,1063,1082,1061.65,1078.95,1077.65,3489473,3745322971
17-Oct-16,1080,1080.8,1058.75,1060.4,1060.65,2246237,2400217762
18-Oct-16,1066,1082.75,1062.05,1079.55,1081.1,2531133,2725292003
19-Oct-16,1084.45,1094.7,1081.4,1087,1087.35,3902656,4248885070
20-Oct-16,1093.95,1098,1084.05,1086.1,1087.55,2314521,2522655591
21-Oct-16,1097,1097,1058.4,1065,1064.2,9968242,10656537355
24-Oct-16,1070,1074,1060.65,1063.3,1063.3,2403099,2565001759
25-Oct-16,1065,1065.25,1054.2,1063.5,1060.85,1750711,1855315528
26-Oct-16,1056.05,1059.45,1052.1,1054.5,1054.05,2502055,2638835504
27-Oct-16,1051.1,1053.9,1043.4,1050.5,1048.7,2935574,3078514158
28-Oct-16,1050,1058,1043.8,1056,1054.95,1857917,1955599208
30-Oct-16,1058.75,1058.75,1046.3,1049.55,1051.2,362170,381202360.2
1-Nov-16,1051.3,1055.95,1047.4,1052,1051,2337011,2456355916
2-Nov-16,1041,1042.85,1021,1026.4,1023.75,1609225,1657027215
3-Nov-16,1023.85,1034.75,1020.6,1021.9,1023.95,1671371,1718133325
4-Nov-16,1020.25,1026.9,1000,1006.55,1005.55,2636911,2665480457
7-Nov-16,1014,1016.55,999.05,1000,1001.15,2172921,2183786373
8-Nov-16,1005.7,1005.7,998.3,1003.9,1003.5,3070346,3075564144
9-Nov-16,950,1009,930,1003,1004.6,4946573,4854675034
10-Nov-16,1018.6,1028.95,1007,1008.05,1010.4,2231907,2272175380
11-Nov-16,997.85,1017.5,995.1,998,1001.75,3377392,3390025727
15-Nov-16,996.5,1000,979.55,982.85,985.4,3311592,3274482016
16-Nov-16,995,996.8,980.7,982.05,986.55,3783226,3747602868
17-Nov-16,986,998.15,974.4,977.05,977.75,2886635,2849709344
18-Nov-16,985,992.7,982,986.4,987.5,4151928,4101257453
21-Nov-16,987.55,993.55,983.2,993,991.5,3024712,2991285792
22-Nov-16,997.7,1007.8,993.3,1001.3,1001.45,4033660,4036245792
23-Nov-16,1005,1010.5,999.55,1007,1009,2996248,3012288585
24-Nov-16,1005.55,1005.55,982.2,992.4,987.35,4323375,4278988686
25-Nov-16,990,995.9,984.35,993,993.7,2389829,2365422434
28-Nov-16,993,1000.6,984.1,986.5,986.65,1900161,1884801099
29-Nov-16,989,1004.3,988.05,997.95,997.7,2259609,2259387576
30-Nov-16,999.95,999.95,986.65,988.15,990.05,6308004,6245953461
1-Dec-16,1000,1015,995,996.5,997.75,2886513,2899649144
2-Dec-16,995.9,1005,991.8,995.6,994.75,2853045,2851867040
5-Dec-16,995,999.7,986.5,993.05,993.85,911410,905170181.8
6-Dec-16,996,1006.55,994.6,1003.25,1005.2,1537535,1538464382
7-Dec-16,1004,1007.6,996.35,1001.85,999.15,1127113,1130270449
8-Dec-16,1005.05,1021.8,1004.35,1019.55,1020.05,2000230,2034423374
9-Dec-16,1022,1031.85,1020.3,1028.95,1028.95,1883333,1936017722
12-Dec-16,1020.5,1041.7,1020.5,1024.9,1027.2,2062700,2133530208
13-Dec-16,1028,1041,1027.55,1039,1039.8,2369453,2458635174
14-Dec-16,1039.8,1064.45,1038.2,1056.35,1059.5,5517829,5830998013
15-Dec-16,1052.4,1067.6,1048.65,1051,1052.95,4418967,4681049111
16-Dec-16,1052,1062,1052,1055.85,1057.15,3415537,3611399948
19-Dec-16,1055,1066.95,1054.35,1060.55,1062.55,3430950,3649521700
20-Dec-16,1054.7,1061,1053.15,1060,1057.9,2671719,2828402959
21-Dec-16,1060.1,1067.3,1057.2,1063,1063.25,4655758,4940302653
22-Dec-16,1058,1062.65,1050.95,1052,1053.35,6604416,6990846841
23-Dec-16,1052,1068.95,1052,1059.9,1057.3,2346414,2486990080
26-Dec-16,1054.35,1066,1044.65,1044.95,1047.45,3502299,3700130720
27-Dec-16,1047.85,1067.1,1047,1064.85,1064.7,3987142,4212155359
28-Dec-16,1067.9,1069.55,1047.1,1051.15,1049.7,2202927,2330463999
29-Dec-16,1050,1068.8,1049.5,1064.05,1065.45,2005206,2123298035
30-Dec-16,1064.8,1085,1063.1,1080.7,1082.4,3591493,3877071530
2-Jan-17,1084,1090,1072.35,1086.7,1085.1,1622458,1763016191
3-Jan-17,1089.85,1097,1081.1,1089,1089.4,1470751,1605682135
4-Jan-17,1092.9,1093,1064.3,1067.15,1067.15,2375547,2547513624
5-Jan-17,1071,1079.9,1068.75,1077,1077.4,1996483,2150451749
6-Jan-17,1074.2,1085,1073.1,1073.95,1074.95,1793427,1934704005
9-Jan-17,1077,1086,1071,1078,1077.7,1195257,1290170893
10-Jan-17,1080,1094.4,1080,1088,1089.85,2594400,2827464834
11-Jan-17,1095,1095.7,1084,1084.8,1086.05,2623211,2852942524
12-Jan-17,1087,1090.35,1079.8,1080.45,1083.3,999364,1083937776
13-Jan-17,1084.55,1097.5,1084.55,1089.95,1090.4,1653669,1805654453
16-Jan-17,1089.95,1093.95,1073.95,1076.7,1076.25,2746005,2961250762
17-Jan-17,1065,1068,1038.5,1040,1041.25,8968290,9409827087
18-Jan-17,1042.6,1048,1028.75,1031.95,1032.55,3627071,3759369531
19-Jan-17,1035.15,1045.3,1031,1032.45,1033.7,3493728,3623411808
20-Jan-17,1033.95,1037.45,1023.9,1025.7,1025.8,2008082,2067168054
23-Jan-17,1021.8,1031,1012.8,1018.4,1015.9,3133533,3194244709
24-Jan-17,1017,1028.8,1017,1027.9,1027.3,2153091,2205027804
25-Jan-17,1032,1032.7,1016.15,1018.05,1017.3,5453230,5562884614
27-Jan-17,1020.25,1028.9,1019,1028.15,1025.1,4997239,5119264082
30-Jan-17,1024.95,1046.45,1024.8,1044.95,1044.8,3583756,3721227069
31-Jan-17,1046.85,1053.8,1040.3,1045,1045.2,3457365,3617029514
1-Feb-17,1046.1,1050.9,1035.2,1050,1049.65,2585798,2701805551
2-Feb-17,1050,1050.8,1038.25,1045.55,1043.5,2079908,2167729582
3-Feb-17,1046,1050.45,1030.1,1033.45,1033.65,3021751,3137286044
6-Feb-17,1037,1044.9,1032.05,1040.7,1041.65,2283982,2371255826
7-Feb-17,1042,1042.35,1027.2,1031.95,1030.9,2264245,2336537922
8-Feb-17,1030.9,1038.25,1022,1022.7,1025.15,3710094,3812874885
9-Feb-17,1028,1034,1026.8,1032.45,1032.75,2254216,2323159365
10-Feb-17,1035,1035.55,1025.55,1030,1030.15,2861531,2949922515
13-Feb-17,1033,1034,1022,1030,1029.85,1957988,2009983985
14-Feb-17,1035,1052.9,1029.9,1048.1,1049.8,4170414,4368108267
15-Feb-17,1052.9,1057.5,1045.25,1050.35,1051.3,3482845,3667220076
16-Feb-17,1052.55,1069.45,1052.55,1065.95,1067.5,4492847,4773923841
17-Feb-17,1066.5,1078.2,1058.45,1070.7,1075.5,3393856,3633367038
20-Feb-17,1070.55,1078.85,1066.5,1075,1075.4,2663127,2861806843
21-Feb-17,1075.2,1090.95,1073.05,1088.1,1088.2,3242790,3517853374
22-Feb-17,1093,1211.65,1092,1209.8,1207.5,29103926,34279184225
23-Feb-17,1213.6,1222,1179.35,1186.8,1182.75,14229234,17023004701
27-Feb-17,1190.5,1256.8,1190.35,1237.55,1238.9,19068911,23683416514
28-Feb-17,1232,1248,1228.5,1237.65,1238.05,8254531,10241229539
1-Mar-17,1240.1,1244.4,1230,1231.55,1234.5,5574153,6902376076
2-Mar-17,1237.9,1254.7,1227.05,1234.95,1236.75,4129033,5124164950
3-Mar-17,1241.55,1287.8,1241.55,1258.6,1258.55,19270851,24456422018
6-Mar-17,1269,1312,1265.25,1308,1305.35,15252154,19803196906
7-Mar-17,1318.85,1327,1296.15,1306.35,1304.95,9616850,12590518108
8-Mar-17,1307.7,1307.7,1286.1,1288.15,1291.2,9906103,12825718918
9-Mar-17,1290,1298,1281.5,1285.4,1286.75,7107670,9150874647
10-Mar-17,1290.25,1296,1261.2,1279.1,1281.65,5665568,7264671760
14-Mar-17,1318.75,1319,1285.25,1288.25,1289.5,6346620,8244794509
15-Mar-17,1291.05,1316.3,1290.4,1302,1304.95,5510658,7201863486
16-Mar-17,1310,1310.4,1293.6,1296.8,1297.65,3639964,4732822404
17-Mar-17,1308,1319.95,1298.05,1300.55,1300.7,5195076,6768124195
20-Mar-17,1306,1306.25,1278.35,1280.95,1280.8,2941714,3788456426
21-Mar-17,1282.2,1283.9,1259.3,1265.2,1263.8,5165107,6560786986
22-Mar-17,1252,1265.9,1246.55,1260.45,1259.7,4638338,5830800371
23-Mar-17,1263.15,1277.55,1258,1272,1273.3,2699090,3426224947
24-Mar-17,1274.1,1292,1268.45,1284,1286.75,3721911,4773078555
27-Mar-17,1270.25,1270.25,1269.25,1269.25,1269.25,948596,1204739009
27-Mar-17,1271.1,1278.75,1247.2,1248.5,1251.1,7418122,9333736052
28-Mar-17,1258,1264,1242.1,1246.3,1245.75,4961934,6200976653
29-Mar-17,1251.7,1260,1233.35,1259.2,1256.65,4325787,5392124743
30-Mar-17,1255,1274.75,1253,1267.6,1270.65,6368859,8075111743
31-Mar-17,1266,1337.65,1266,1320.6,1320.9,10375519,13602917637
3-Apr-17,1342,1380.5,1337.05,1373.25,1374.65,10260327,14014070971
5-Apr-17,1395.2,1418,1380.1,1415.05,1415,9217360,12910386481
6-Apr-17,1409,1448.9,1402.2,1434,1438.5,11571075,16537975353
7-Apr-17,1421.3,1434,1402.55,1405.25,1406.6,7286151,10343188455
10-Apr-17,1410,1424.9,1377.3,1384.75,1381.35,7033141,9825093896
11-Apr-17,1387.85,1400.45,1370.1,1375.7,1372.35,7371727,10194385221
12-Apr-17,1382.8,1386.45,1351.15,1355,1354,6274215,8556264241
13-Apr-17,1354,1373.4,1347.35,1365.8,1364.8,2906188,3969077630
17-Apr-17,1365,1395.55,1365,1391.45,1391.85,2705854,3735039098
18-Apr-17,1399.95,1410,1367,1369,1370.2,3661083,5101601216
19-Apr-17,1369,1382.55,1357.55,1369.95,1368.8,2645292,3620655412
20-Apr-17,1379,1386.8,1364.1,1370.45,1369.55,1918612,2631919172
21-Apr-17,1380.5,1421,1378.55,1405,1402.5,6910277,9705482124
24-Apr-17,1409.05,1435,1400.2,1417.85,1417.4,5831731,8273693518
25-Apr-17,1460,1467.75,1426.1,1431,1432.8,8403704,12125713088
26-Apr-17,1435,1440.05,1402.6,1416.5,1416.45,3831775,5446671309
27-Apr-17,1417,1424.15,1402.2,1409,1409.5,2873655,4047372599
28-Apr-17,1409.75,1420.3,1391,1394.25,1395.2,2708404,3802054530
2-May-17,1402,1402,1366.3,1372,1370.55,4249684,5846767714
3-May-17,1376.9,1380.75,1365,1370.2,1370.1,2171549,2977965401
4-May-17,1375,1379.6,1354.05,1361.6,1357.95,3283811,4480138684
5-May-17,1361.6,1367.35,1325,1328.4,1328.25,3565543,4791006381
8-May-17,1330,1339.5,1318.35,1320.1,1321.4,3672585,4877180992
